סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
0 ,לא רשום ,0 ,לא ידוע ,0 , ,0 , ,27831 ,4780 ,2427 ,1207 ,619 ,655 ,18143
7 ,שחר ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,783 ,58 ,197 ,267 ,95 ,73 ,93
10 ,תירוש ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,443 ,33 ,76 ,160 ,52 ,57 ,65
11 ,ניר ח"ן ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,626 ,42 ,135 ,198 ,82 ,63 ,106
13 ,חצבה ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה ,723 ,39 ,201 ,196 ,100 ,38 ,149
15 ,נועם ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,466 ,43 ,102 ,158 ,55 ,44 ,64
16 ,בית ניר ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,695 ,32 ,196 ,204 ,128 ,57 ,78
18 ,שדה משה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,645 ,61 ,181 ,197 ,80 ,45 ,81
21 ,באר אורה ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,1206 ,72 ,426 ,366 ,233 ,68 ,41
22 ,מקווה ישראל ,53 ,חולון ,53 ,חולון ,0 , ,227 ,20 ,36 ,83 ,36 ,16 ,36
23 ,אמציה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,251 ,30 ,64 ,88 ,21 ,15 ,33
24 ,לכיש ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,866 ,48 ,201 ,286 ,141 ,86 ,104
26 ,ראש פינה ,21 ,צפת ,21 ,צפת ,0 , ,3453 ,238 ,679 ,1165 ,442 ,326 ,603
27 ,שדות מיכה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,401 ,29 ,98 ,127 ,46 ,42 ,59
28 ,מזכרת בתיה ,44 ,רחובות ,44 ,רחובות ,0 , ,16792 ,1153 ,4531 ,5595 ,2455 ,1290 ,1768
29 ,יסוד המעלה ,21 ,צפת ,21 ,צפת ,0 , ,1817 ,126 ,342 ,648 ,265 ,177 ,259
31 ,אופקים ,62 ,באר שבע ,62 ,באר שבע ,0 , ,36988 ,4910 ,8511 ,13881 ,3199 ,2702 ,3785
32 ,עוצם ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,674 ,75 ,142 ,227 ,73 ,71 ,86
33 ,בת שלמה ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,654 ,40 ,168 ,231 ,80 ,59 ,76
35 ,גדות ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,521 ,39 ,97 ,167 ,58 ,47 ,113
36 ,שדה דוד ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,707 ,80 ,177 ,257 ,73 ,35 ,85
37 ,איתן ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,575 ,74 ,128 ,218 ,48 ,50 ,57
38 ,כרי דשא ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,3 ,0 ,0 ,0 ,0 ,1 ,2
39 ,גפן ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,397 ,35 ,92 ,134 ,41 ,46 ,49
41 ,אליכין ,41 ,השרון ,32 ,חדרה ,0 , ,3698 ,287 ,751 ,1278 ,457 ,405 ,520
43 ,מטולה ,21 ,צפת ,21 ,צפת ,0 , ,1852 ,114 ,229 ,824 ,193 ,183 ,309
44 ,זוהר ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,375 ,27 ,83 ,135 ,39 ,28 ,63
46 ,יבנאל ,22 ,כנרת ,22 ,טבריה ,0 , ,4664 ,520 ,1493 ,1520 ,368 ,342 ,421
47 ,כפר תבור ,22 ,כנרת ,22 ,טבריה ,0 , ,4920 ,297 ,1198 ,1610 ,673 ,473 ,669
48 ,מנחמיה ,22 ,כנרת ,22 ,טבריה ,7 ,עמק המעיינות ,1262 ,101 ,208 ,444 ,150 ,128 ,231
49 ,אילניה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,592 ,23 ,106 ,221 ,76 ,79 ,87
52 ,לוזית ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,844 ,76 ,265 ,278 ,113 ,57 ,55
53 ,עתלית ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,10657 ,1181 ,2675 ,3569 ,1262 ,694 ,1276
55 ,נוגה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,594 ,46 ,129 ,193 ,82 ,44 ,100
57 ,כנרת )קבוצה( ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,861 ,45 ,162 ,281 ,113 ,77 ,183
58 ,מצפה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,150 ,10 ,22 ,46 ,18 ,16 ,38
59 ,נחושה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1570 ,118 ,614 ,542 ,194 ,49 ,53
62 ,דגניה א' ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,683 ,48 ,101 ,230 ,83 ,57 ,164
63 ,כנרת )מושבה( ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,677 ,39 ,94 ,242 ,92 ,87 ,123
64 ,יד רמב"ם ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1245 ,105 ,272 ,443 ,144 ,113 ,168
65 ,מגדל ,22 ,כנרת ,22 ,טבריה ,0 , ,2107 ,182 ,470 ,739 ,214 ,228 ,274
66 ,מרחביה )קיבוץ( ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1425 ,86 ,346 ,429 ,234 ,92 ,238
